player,position,draft_year,draft_pos,performance_value
Brian Quick,WR,2012,33,1.1
Johnathan Cyprien,S,2013,33,3.7000000000000006
Xavier Su'a-Filo,LG,2014,33,0.5
Landon Collins,S,2015,33,7.400000000000001
Kevin Dodd,ED,2016,33,0
Kevin King,CB,2017,33,2.7
Austin Corbett,RG,2018,33,1.1
Byron Murphy,CB,2019,33,3.9
Tee Higgins,WR,2020,33,8.5
Aaron Williams,S,2011,34,4.9
Coby Fleener,TE,2012,34,4.6
Justin Hunter,WR,2013,34,0.5
Demarcus Lawrence,ED,2014,34,9.7
Donovan Smith,LT,2015,34,7.3
Jaylon Smith,LB,2016,34,6.800000000000001
Cam Robinson,LT,2017,34,7.5
Will Hernandez,RG,2018,34,0.6
Rock Ya-Sin,CB,2019,34,1.8000000000000003
"Michael Pittman, Jr.",WR,2020,34,9.1
Courtney Upshaw,ED,2012,35,0.8
Zach Ertz,TE,2013,35,5.5
Joel Bitonio,LG,2014,35,6
Mario Edwards Jr.,IDL,2015,35,1.2
Hunter Henry,TE,2016,35,5.4
Malik McDowell,IDL,2017,35,0.4
Nick Chubb,RB,2018,35,6.7
Jawaan Taylor,RT,2019,35,8.9
D'Andre Swift,RB,2020,35,3.1
Derek Wolfe,IDL,2012,36,5.9
Darius Slay,CB,2013,36,7.7
T.J. Yeldon,RB,2015,36,0.9000000000000001
Myles Jack,LB,2016,36,7.6
Budda Baker,S,2017,36,7.400000000000001
Shaquille Leonard,LB,2018,36,10.8
Deebo Samuel,WR,2019,36,11.5
Xavier McKinney,S,2020,36,6.6000000000000005
Jabaal Sheard,ED,2011,37,3.8
Mitchell Schwartz,RT,2012,37,4.3
Giovani Bernard,RB,2013,37,3.3000000000000003
Ra'Shede Hageman,ED,2014,37,0.4
Devin Smith,WR,2015,37,0.4
Chris Jones,IDL,2016,37,10.1
Zay Jones,WR,2017,37,1.4
Braden Smith,RT,2018,37,9.6
Greg Little,LT,2019,37,0.5
Kyle Dugger,S,2020,37,5.7
Ryan Williams,RB,2011,38,0.4
Andre Branch,ED,2012,38,1.8000000000000003
Manti Te'o,LB,2013,38,1.5
Austin Seferian-Jenkins,TE,2014,38,2.8
Preston Smith,ED,2015,38,6.9
Xavien Howard,CB,2016,38,8
Forrest Lamp,LG,2017,38,0.6
Ronald Jones II,RB,2018,38,0.7
Cody Ford,LG,2019,38,0.5
Yetur Gross-Matos,ED,2020,38,3.5000000000000004
Akeem Ayers,LB,2011,39,2.1
Janoris Jenkins,CB,2012,39,8.1
Marqise Lee,WR,2014,39,4.8
Eddie Goldman,IDL,2015,39,5.9
Noah Spence,ED,2016,39,0.4
Marcus Maye,S,2017,39,5.8
James Daniels,RG,2018,39,4.2
Sean Murphy-Bunting,CB,2019,39,1.6
Robert Hunt,RG,2020,39,7.8
Bruce Carter,LB,2011,40,3
Amini Silatolu,LT,2012,40,0.5
Tank Carradine,ED,2013,40,1.7000000000000002
Kyle Van Noy,ED,2014,40,3.2
Dorial Green-Beckham,WR,2015,40,0
Sterling Shepard,WR,2016,40,5.4
Curtis Samuel,WR,2017,40,6.3
Courtland Sutton,WR,2018,40,8.2
Trayvon Mullen,CB,2019,40,0.5
Ross Blacklock,IDL,2020,40,0.4
Jarvis Jenkins,IDL,2011,41,0.6
Cordy Glenn,LT,2012,41,7.7
Robert Woods,WR,2013,41,4.1
Lamarcus Joyner,S,2014,41,6.4
Devin Funchess,WR,2015,41,5.3
Reggie Ragland,LB,2016,41,0.5
Dalvin Cook,RB,2017,41,6.4
Harold Landry,ED,2018,41,8.4
Dalton Risner,LG,2019,41,1.2
Jonathan Taylor,RB,2020,41,6.2
Brooks Reed,ED,2011,42,3.1
